Date,Open,High,Low,Close,Volume
2022-08-15,1771.18,1790.22,1766.27,1770.61,19323
2022-08-16,1774.66,1784.51,1766.72,1768.56,14836
2022-08-17,1780.72,1780.72,1745.72,1768.72,18361
2022-08-18,1758.72,1763.8,1731.79,1746.22,23168
2022-08-19,1748.72,1759.07,1738.72,1745.73,13544
2022-08-22,1735.73,1757.72,1732.1,1744.7,15427
2022-08-23,1749.32,1749.32,1717.72,1720.73,23756
2022-08-24,1720.71,1725.95,1701.72,1704.92,18728
2022-08-25,1709.72,1738.72,1704.92,1735.72,21925
2022-08-26,1750.72,1762.72,1736.72,1748.72,23142
2022-08-29,1733.72,1750.69,1724.72,1729.54,13570
2022-08-30,1733.07,1735.72,1704.92,1720.72,18235
2022-08-31,1710.82,1776.28,1710.73,1774.72,44692
2022-09-01,1762.87,1766.72,1731.61,1731.61,26845
2022-09-02,1740.66,1743.68,1716.89,1725.72,19391
2022-09-05,1713.36,1719.72,1670.72,1685.72,36822
2022-09-06,1686.08,1698.92,1675.72,1695.72,20830
2022-09-07,1685.75,1688.38,1661.73,1668.73,28306
2022-09-08,1670.72,1682.72,1665.72,1665.72,16591
2022-09-09,1675.72,1702.72,1666.72,1695.51,27090
2022-09-13,1730.72,1739.1,1708.95,1729.72,28693
2022-09-14,1714.73,1730.72,1713.72,1719.72,16042
2022-09-15,1720.72,1743.84,1720.68,1730.72,20810
2022-09-16,1722.52,1736.32,1705.83,1709.72,24121
2022-09-19,1705.72,1739.31,1703.6,1722.36,18584
2022-09-20,1720.7,1735.32,1709.27,1728.72,14116
2022-09-21,1727.39,1733.72,1698.72,1698.72,20995
2022-09-22,1690.72,1691.74,1667.57,1671.53,22704
2022-09-23,1671.53,1705.72,1671.53,1685.15,28288
2022-09-26,1670.72,1738.72,1670.7,1713.72,35135
2022-09-27,1719.58,1747.72,1701.83,1738.72,28820
2022-09-28,1731.22,1750.12,1724.73,1733.72,21446
2022-09-29,1748.7,1752.9,1721.85,1731.07,21590
2022-09-30,1749.34,1752.71,1716.72,1723.22,21289
2022-10-10,1740.72,1741.72,1630.92,1636.72,48584
2022-10-11,1639.72,1656.72,1610.72,1630.71,32047
2022-10-12,1624.38,1629.72,1558.72,1610.72,48195
2022-10-13,1571.18,1585.72,1547.72,1550.71,63969
2022-10-14,1560.72,1605.72,1552.66,1588.33,46520
2022-10-17,1576.72,1578.71,1548.52,1569.22,33550
2022-10-18,1575.72,1580.72,1551.72,1556.55,28083
2022-10-19,1552.7,1552.7,1498.72,1498.72,60121
2022-10-20,1471.72,1519.15,1461.72,1494.22,42778
2022-10-21,1490.72,1498.52,1460.72,1474.72,38907
2022-10-24,1420.72,1439.72,1338.73,1352.0,132098
2022-10-25,1330.14,1365.72,1322.72,1330.47,81362
2022-10-26,1339.52,1365.71,1310.72,1314.8,81781
2022-10-27,1330.72,1338.7,1234.57,1251.72,107106
2022-10-28,1241.49,1256.72,1209.43,1210.72,93143
2022-10-31,1200.72,1232.73,1183.72,1200.72,71847
2022-11-01,1209.72,1320.12,1209.72,1312.73,118766
2022-11-02,1310.72,1356.72,1286.72,1322.68,79777
2022-11-03,1294.29,1313.22,1278.82,1290.22,45160
2022-11-04,1288.68,1378.49,1288.68,1367.29,80008
2022-11-07,1344.77,1369.2,1337.31,1357.83,42698
2022-11-08,1358.72,1368.71,1319.68,1335.6,39325
2022-11-09,1334.67,1339.6,1300.72,1310.62,36090
2022-11-10,1294.72,1335.72,1285.87,1325.72,37720
2022-11-11,1378.72,1395.17,1345.7,1378.87,73947
2022-11-14,1394.22,1414.25,1378.72,1383.72,57370
2022-11-15,1382.72,1449.69,1371.72,1438.72,56318
2022-11-16,1431.72,1448.72,1418.72,1435.97,26848
2022-11-17,1441.22,1447.02,1403.6,1417.72,30580
2022-11-18,1426.72,1434.72,1406.72,1417.85,23609
2022-11-21,1392.07,1392.07,1349.25,1370.7,39096
2022-11-22,1368.16,1410.46,1366.83,1390.67,29901
2022-11-23,1378.72,1407.72,1371.76,1399.72,22177
2022-11-24,1409.72,1419.6,1364.7,1370.71,27687
2022-11-25,1371.23,1382.72,1360.72,1372.73,18621
2022-11-28,1335.5,1365.72,1301.72,1360.6,47723
2022-11-29,1420.28,1450.72,1401.72,1449.72,73420
2022-11-30,1437.84,1454.72,1435.72,1449.72,31497
2022-12-01,1510.72,1530.72,1481.51,1481.52,51358
2022-12-02,1485.72,1503.71,1471.92,1484.6,23884
2022-12-05,1518.72,1529.72,1499.72,1515.62,36127
2022-12-06,1505.72,1577.62,1502.72,1538.72,44147
2022-12-07,1528.53,1570.72,1520.75,1534.72,35526
2022-12-08,1532.72,1545.72,1515.72,1537.74,19730
2022-12-09,1542.72,1580.72,1532.72,1580.72,39215
2022-12-12,1566.58,1616.72,1565.72,1589.74,34755
2022-12-13,1587.72,1611.41,1580.72,1600.72,21385
2022-12-14,1593.72,1631.52,1593.72,1621.59,29098
2022-12-15,1655.72,1666.72,1630.72,1637.71,30634
2022-12-16,1623.97,1641.72,1593.72,1637.59,33303
2022-12-19,1649.52,1649.52,1610.89,1623.72,24987
2022-12-20,1616.05,1616.05,1533.17,1565.72,46198
2022-12-21,1574.72,1589.72,1568.37,1589.72,22816
2022-12-22,1607.42,1633.72,1595.72,1618.72,23175
2022-12-23,1603.12,1632.72,1595.72,1621.72,17319
2022-12-26,1621.72,1621.72,1585.74,1592.78,21384
2022-12-27,1610.63,1619.78,1598.13,1605.63,17905
2022-12-28,1618.51,1619.63,1580.64,1605.63,21438
2022-12-29,1589.63,1599.62,1573.68,1591.63,22418
2022-12-30,1608.63,1625.62,1599.63,1599.63,25333
